stddev;avg;count;track_id;appversion;operatingsystem;operatingsystemversion;accelerometerscalefactor;devicemanufacturer;devicemodel
0,0939329377411046;0,11279799476895;1000;12642;"""3,1""";"""Android""";"""7,0""";1,0001835506258;"""Lge""";"""Lg-h870"""
0,0838729635355848;0,067405244394484;1000;12643;"""3,1""";"""Android""";"""7,0""";1,0001835506258;"""Lge""";"""Lg-h870"""
0,141386216354283;0,0780108197906082;134;12644;"""3,1""";"""Android""";"""7,0""";1,0001835506258;"""Lge""";"""Lg-h870"""
0,0615466209216931;0,0239481574711666;843;12645;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0594466328570138;0,0683008404065698;1000;12646;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0448867042341621;0,0410579549765583;1000;12647;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0156008485418183;0,0666084162833397;1000;12648;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0178019177648023;0,0694725892560191;1000;12649;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,016190796253625;0,0654820060378842;1000;12650;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0241626734306239;0,0685376526753914;1000;12651;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0224944086679094;0,0606724109753986;1000;12652;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0236697237337484;0,0553834162259109;1000;12653;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0316081963687948;0,0632886090522541;1000;12654;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0468293755718884;0,0497911116649922;1000;12655;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0379634503333172;0,0460647237049208;1000;12656;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0522407751119318;0,066508995596529;1000;12657;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
0,0342725647008648;0,0448533341172056;1000;12658;"""3,1""";"""Android""";"""6,0,1""";0,985261519721166;"""Samsung""";"""Sm-t705"""
